SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,NPOPCHG_2008,NPOPCHG_2009,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,BIRTHS2008,BIRTHS2009,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,DEATHS2008,DEATHS2009,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,NATURALINC2008,NATURALINC2009,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNATIONALMIG2008,INTERNATIONALMIG2009,DOMESTICMIG2000,DOMESTICMIG2001,DOMESTICMIG2002,DOMESTICMIG2003,DOMESTICMIG2004,DOMESTICMIG2005,DOMESTICMIG2006,DOMESTICMIG2007,DOMESTICMIG2008,DOMESTICMIG2009,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,NETMIG2008,NETMIG2009,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,RESIDUAL2008,RESIDUAL2009,RBIRTH2001,RBIRTH2002,RBIRTH2003,RBIRTH2004,RBIRTH2005,RBIRTH2006,RBIRTH2007,RBIRTH2008,RBIRTH2009,RDEATH2001,RDEATH2002,RDEATH2003,RDEATH2004,RDEATH2005,RDEATH2006,RDEATH2007,RDEATH2008,RDEATH2009,RNATURALINC2001,RNATURALINC2002,RNATURALINC2003,RNATURALINC2004,RNATURALINC2005,RNATURALINC2006,RNATURALINC2007,RNATURALINC2008,RNATURALINC2009,RINTERNATIONALMIG2001,RINTERNATIONALMIG2002,RINTERNATIONALMIG2003,RINTERNATIONALMIG2004,RINTERNATIONALMIG2005,RINTERNATIONALMIG2006,RINTERNATIONALMIG2007,RINTERNATIONALMIG2008,RINTERNATIONALMIG2009,RDOMESTICMIG2001,RDOMESTICMIG2002,RDOMESTICMIG2003,RDOMESTICMIG2004,RDOMESTICMIG2005,RDOMESTICMIG2006,RDOMESTICMIG2007,RDOMESTICMIG2008,RDOMESTICMIG2009,RNETMIG2001,RNETMIG2002,RNETMIG2003,RNETMIG2004,RNETMIG2005,RNETMIG2006,RNETMIG2007,RNETMIG2008,RNETMIG2009
40,3,6,1,Alabama,4447100,4447382,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708,4467,12185,8386,18171,21599,32859,52639,40216,39560,31244,15058,62358,59528,58572,59548,60076,61331,64283,63344,62265,10564,45163,45754,45883,46914,46548,47053,46513,46295,47157,4494,17195,13774,12689,12634,13528,14278,17770,17049,15108,1429,5776,5141,3642,6282,5766,6486,5492,5409,5319,-1489,-8828,-8583,4782,5023,16256,33752,16826,16927,11044,-60,-3052,-3442,8424,11305,22022,40238,22318,22336,16363,33,-1958,-1946,-2942,-2340,-2691,-1877,128,175,-227,13.9880705,13.32251025,13.06971508,13.22880119,13.26585287,13.41633255,13.92071023,13.59989214,13.26738952,10.13090908,10.23985576,10.2383005,10.4221129,10.27862906,10.29297901,10.07255409,9.93948924,10.04818578,3.857161428,3.082654485,2.831414577,2.806688289,2.987223811,3.123353543,3.848156133,3.660402896,3.219203739,1.295665275,1.150568223,0.81267333,1.395568769,1.273235696,1.418831144,1.189311958,1.161306778,1.133369386,-1.980286193,-1.920896141,1.067052132,1.115877416,3.589614893,7.383347022,3.643729606,3.63420962,2.353249014,-0.684620918,-0.770327918,1.879725463,2.511446185,4.862850588,8.802178166,4.833041564,4.795516398,3.4866184
40,4,9,2,Alaska,626932,626931,627499,633316,642691,650884,661569,669488,677325,682297,688125,698473,568,5817,9375,8193,10685,7919,7837,4972,5828,10348,2434,9975,9853,9979,10300,10391,10662,11023,11363,11307,722,2988,3088,3094,3053,3163,3102,3385,3159,3140,1712,6987,6765,6885,7247,7228,7560,7638,8204,8167,537,1103,174,-1772,2334,1042,1797,874,1197,1022,-1672,-2904,1904,2530,615,-891,-2159,-3745,-3689,979,-1135,-1801,2078,758,2949,151,-362,-2871,-2492,2001,-9,631,532,550,489,540,639,205,116,180,15.82309855,15.44348895,15.42856039,15.69580015,15.61315556,15.83293301,16.21480088,16.58321305,16.30898069,4.739791326,4.84009884,4.783642232,4.652357075,4.7526139,4.606430143,4.979325136,4.610258738,4.52907043,11.08330723,10.60339011,10.64491815,11.04344308,10.86054166,11.22650286,11.23547574,11.97295432,11.77991026,1.749661925,0.272725777,-2.739694258,3.556698792,1.565672995,2.668521911,1.285651453,1.746907157,1.474111458,-4.60654418,2.984309647,3.911640222,0.937176417,-1.338785642,-3.206087259,-5.508884087,-5.38374311,1.412089156,-2.856882255,3.257035424,1.171945964,4.493875209,0.226887353,-0.537565349,-4.223232634,-3.636835953,2.886200615
40,4,8,4,Arizona,5130632,5130607,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778,36090,137720,147691,139098,168219,215409,217266,170141,137136,96401,19881,85464,86187,89485,92043,95080,98551,103318,101761,103956,9482,40694,42540,42444,43581,44278,46733,44913,47166,49657,10399,44770,43647,47041,48462,50802,51818,58405,54595,54299,8256,33284,31674,26714,29375,30416,31084,27579,27031,26997,17561,56938,70105,62986,90588,132164,133670,79763,55468,15111,25817,90222,101779,89700,119963,162580,164754,107342,82499,42108,-126,2728,2265,2357,-206,2027,694,4394,42,-6,16.3237646,16.02506386,16.20618593,16.2181292,16.20553969,16.19980843,16.4593267,15.82398109,15.87701711,7.772620946,7.909617651,7.686822995,7.679044451,7.546790982,7.681968194,7.154975319,7.33438048,7.584026306,8.551143651,8.115446206,8.519362938,8.539084743,8.658748712,8.517840238,9.304351379,8.489600609,8.292990805,6.357298755,5.889262564,4.838040465,5.1759237,5.184136467,5.109586359,4.393540051,4.203359173,4.123204345,10.87525167,13.03487883,11.40708306,15.96175578,22.52617741,21.97266789,12.70683981,8.625353358,2.307876463,17.23255042,18.92414139,16.24512352,21.13767948,27.71031388,27.08225425,17.10037986,12.82871253,6.431080808
40,3,7,5,Arkansas,2673400,2673386,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450,4902,12780,13664,17559,23870,30060,38876,27097,25570,21686,9074,37335,37469,37388,37995,38977,39572,41782,41004,40539,6469,28421,27847,27763,28428,27975,27686,28065,27667,28003,2605,8914,9622,9625,9567,11002,11886,13717,13337,12536,1092,4555,4130,3154,4186,4002,4336,3719,3642,3662,1282,-304,366,5139,10876,15384,23168,8199,7037,5298,2374,4251,4496,8293,15062,19386,27504,11918,10679,8960,-77,-385,-454,-359,-759,-328,-514,1462,1554,190,13.9066957,13.88820935,13.77845644,13.8960715,14.11601008,14.15480214,14.77102733,14.36227727,14.08285327,10.586372,10.32173172,10.23139205,10.39709227,10.1314976,9.903210656,9.921709879,9.690789319,9.727969118,3.320323704,3.566477631,3.547064385,3.498979236,3.98451248,4.251591485,4.849317456,4.671487951,4.354884151,1.696665298,1.530820268,1.16233154,1.530963424,1.449374563,1.550975995,1.31476355,1.275666126,1.272143089,-0.113235181,0.13566107,1.893855987,3.977725323,5.571508816,8.287133731,2.898560459,2.464816729,1.840473535,1.583430117,1.666481337,3.056187527,5.508688748,7.02088338,9.838109727,4.21332401,3.740482855,3.112616623
40,4,9,6,California,33871648,33871648,33994571,34485623,34876194,35251107,35558419,35795255,35979208,36226122,36580371,36961664,122923,491052,390571,374913,307312,236836,183953,246914,354249,381293,128833,530883,527307,538297,540560,548154,554494,566712,564288,558912,53766,233502,234544,234608,239870,231799,239797,234406,235933,241733,75067,297381,292763,303689,300690,316355,314697,332306,328355,317179,66733,254983,230640,182299,193722,191179,194309,169995,167173,165600,-19603,-45687,-119535,-96581,-159777,-248576,-313081,-265169,-142901,-98798,47130,209296,111105,85718,33945,-57397,-118772,-95174,24272,66802,726,-15625,-13297,-14494,-27323,-22122,-11972,9782,1622,-2688,15.50471659,15.20453249,15.35199537,15.26800222,15.36442258,15.45101076,15.69723454,15.50103505,15.19979696,6.819548438,6.762913953,6.690917707,6.775077127,6.497184714,6.681958735,6.492761684,6.481097778,6.574009,8.685168152,8.441618535,8.661077659,8.49292509,8.867237866,8.769052023,9.204472855,9.019937274,8.625787959,7.446912315,6.650344814,5.19908787,5.471636684,5.358630867,5.414432707,4.708655164,4.592255254,4.503546849,-1.334312809,-3.446709016,-2.754447943,-4.512867379,-6.9674338,-8.72402208,-7.344859445,-3.925501535,-2.686844333,6.112599506,3.203635799,2.444639927,0.958769305,-1.608802933,-3.309589373,-2.63620428,0.666753719,1.816702516
40,4,8,8,Colorado,4301261,4302015,4328070,4433068,4504265,4548775,4599681,4660780,4753044,4842259,4935213,5024748,26055,104998,71197,44510,50906,61099,92264,89215,92954,89535,16412,66628,67403,68595,68543,69155,69730,71037,71067,72537,6568,28057,28887,28975,29139,29200,29432,29686,30568,31679,9844,38571,38516,39620,39404,39955,40298,41351,40499,40858,6143,21255,18208,12966,16307,14710,15640,13306,13248,13078,10087,45283,14636,-7588,-3249,8538,36888,34148,38488,35591,16230,66538,32844,5378,13058,23248,52528,47454,51736,48669,-19,-111,-163,-488,-1556,-2104,-562,410,719,8,15.20989625,15.08347065,15.15402561,14.98460505,14.93554155,14.81438361,14.80661945,14.53688643,14.56571969,6.404875714,6.464344565,6.401164692,6.370255265,6.306381507,6.252931859,6.187610751,6.252740995,6.361269889,8.805020535,8.619126086,8.752860917,8.614349788,8.629160039,8.561451754,8.619008696,8.284145432,8.204449797,4.852109395,4.074593618,2.864452162,3.56497315,3.17694767,3.322772977,2.773440297,2.709902928,2.626114701,10.33724158,3.27525001,-1.676342974,-0.71028379,1.843968675,7.836985268,7.117649125,7.872791658,7.146815133,15.18935097,7.349843628,1.188109188,2.85468936,5.020916345,11.15975825,9.891089422,10.58269459,9.772929834
40,1,1,9,Connecticut,3405565,3405607,3411726,3428433,3448382,3467673,3474610,3477416,3485162,3488633,3502932,3518288,6119,16707,19949,19291,6937,2806,7746,3471,14299,15356,10837,42858,42146,42706,42637,41911,41589,41889,40859,40899,6898,30431,29585,29892,29810,29698,29261,28729,28393,28729,3939,12427,12561,12814,12827,12213,12328,13160,12466,12170,3946,14606,13440,10955,11551,11533,12932,11260,11391,11322,-1952,-6926,-2802,-16,-14352,-17446,-15075,-20678,-9257,-7824,1994,7680,10638,10939,-2801,-5913,-2143,-9418,2134,3498,186,-3400,-3250,-4462,-3089,-3494,-2439,-271,-301,-312,12.53128765,12.25741859,12.34981503,12.28327915,12.05720462,11.94643708,12.0132582,11.68808414,11.65011209,8.897746383,8.604273926,8.644234321,8.587952983,8.543696471,8.405220021,8.239129484,8.122072812,8.183478085,3.633541267,3.653144661,3.70558071,3.695326163,3.513508149,3.541217061,3.77412872,3.566011329,3.466634004,4.27066096,3.908786262,3.167991001,3.327723747,3.317881723,3.714716015,3.229231717,3.258497919,3.225080542,-2.025099124,-0.814912136,-0.004626915,-4.134662906,-5.018968571,-4.330292601,-5.930200128,-2.648048041,-2.22867251,2.245561836,3.093874126,3.163364086,-0.806939158,-1.701086849,-0.615576587,-2.700968411,0.610449878,0.996408032
40,3,5,10,Delaware,783600,783557,786411,794620,804131,814905,826639,839906,853022,864896,876211,885122,2854,8209,9511,10774,11734,13267,13116,11874,11315,8911,2700,10906,10829,11332,11292,11464,11836,11966,12104,11980,1624,7043,6891,6998,7109,7340,7188,7079,7333,7709,1076,3863,3938,4334,4183,4124,4648,4887,4771,4271,649,2305,2098,1522,2274,2157,2410,2035,2057,2016,1100,2838,4198,5798,6078,7815,6620,4993,4504,2580,1749,5143,6296,7320,8352,9972,9030,7028,6561,4596,29,-797,-723,-880,-801,-829,-562,-41,-17,44,13.79606093,13.54682499,13.9984534,13.75777926,13.75780432,13.98287464,13.93081626,13.90379799,13.60333338,8.909376224,8.620479362,8.644650273,8.661357844,8.808643031,8.491796462,8.241371241,8.423376622,8.753597417,4.886684701,4.926345629,5.353803127,5.096421418,4.949161289,5.491078179,5.689445014,5.480421364,4.849735967,2.915818855,2.624548788,1.88013114,2.770562349,2.588588967,2.847138213,2.369146839,2.362864545,2.289175301,3.590062434,5.25159953,7.162286694,7.405223375,9.378684644,7.820769696,5.812850206,5.173719938,2.929599343,6.505881289,7.876148318,9.042417834,10.17578572,11.96727361,10.66790791,8.181997045,7.536584483,5.218774644
40,3,5,11,District of Columbia,572059,572055,571744,578042,579585,577777,579796,582049,583978,586409,590074,599657,-311,6298,1543,-1808,2019,2253,1929,2431,3665,9583,1876,7618,7625,7480,7790,7913,8197,8842,8431,8214,1430,5919,5913,5678,5522,5468,5397,5149,5201,5234,446,1699,1712,1802,2268,2445,2800,3693,3230,2980,1067,3710,3176,2325,2627,2366,2508,2170,2134,2096,-1792,-4285,-7543,-10286,-7023,-6746,-3369,-3377,-1639,4454,-725,-575,-4367,-7961,-4396,-4380,-861,-1207,495,6550,-32,5174,4198,4351,4147,4188,-10,-55,-60,53,13.25116152,13.17350062,12.92594711,13.45919437,13.62143832,14.05970874,15.10953215,14.33254879,13.80816336,10.29582896,10.21572579,9.811968943,9.540651,9.41261528,9.257075522,8.79879903,8.841606721,8.798627589,2.955332558,2.957774827,3.113978168,3.918543366,4.208823036,4.802633215,6.310733117,5.490942071,5.009535769,6.453374802,5.487086946,4.017757625,4.538806624,4.072832435,4.30178718,3.708175159,3.627761727,3.523485561,-7.453560924,-13.0318315,-17.77490535,-12.13400796,-11.6125645,-5.778596894,-5.770740789,-2.786270605,7.487406817,-1.000186122,-7.544744551,-13.75714772,-7.595201339,-7.539732064,-1.476809714,-2.06256563,0.841491122,11.01089238
40,3,5,12,Florida,15982378,15982839,16047118,16353869,16680309,16981183,17375259,17783868,18088505,18277888,18423878,18537969,64279,306751,326440,300874,394076,408609,304637,189383,145990,114091,48118,205394,205558,208889,215365,221683,231473,241448,235006,233310,38625,166242,167712,168122,170129,170039,171127,168625,170896,175141,9493,39152,37846,40767,45236,51644,60346,72823,64110,58169,26734,103065,96939,80691,89688,91201,100206,87534,87821,87381,28761,157736,185584,171133,265420,265932,141448,16707,-18568,-31179,55495,260801,282523,251824,355108,357133,241654,104241,69253,56202,-709,6798,6071,8283,-6268,-168,2637,12319,12627,-280,12.67825576,12.44517118,12.41115516,12.53709566,12.6102676,12.90536313,13.27863338,12.80625025,12.62436912,10.26153926,10.15384733,9.988980881,9.90376128,9.672538229,9.54087983,9.273671986,9.31268539,9.476853254,2.416716503,2.291323853,2.422174276,2.633334383,2.93772937,3.364483303,4.004961394,3.49356486,3.14751587,6.361843236,5.869012391,4.794261645,5.221029582,5.187899006,5.586806315,4.814005062,4.785655273,4.72817281,9.736493521,11.23587819,10.16787967,15.45095968,15.12733806,7.886180265,0.918815347,-1.01183142,-1.687091016,16.09833676,17.10489058,14.96214131,20.67198926,20.31523707,13.47298658,5.732820409,3.773823854,3.041081794
40,3,5,13,Georgia,8186453,8186781,8230161,8419594,8585535,8735259,8913676,9097428,9330086,9533761,9697838,9829211,43380,189433,165941,149724,178417,183752,232658,203675,164077,131373,31603,133773,133085,134078,137655,139823,143741,149944,150157,147567,15175,64552,64574,65529,67096,65426,66880,67796,69004,70949,16428,69221,68511,68549,70559,74397,76861,82148,81153,76618,10459,37786,32813,21922,33490,30180,32923,27365,27714,27346,16766,55423,43349,36379,51507,62131,127246,93094,54636,26604,27225,93209,76162,58301,84997,92311,160169,120459,82350,53950,-273,27003,21268,22874,22861,17044,-4372,1068,574,805,16.06906528,15.65233642,15.48173831,15.59924154,15.52631088,15.60069362,15.89749959,15.61565422,15.11411171,7.754108094,7.594649826,7.566512251,7.603404965,7.265073812,7.258711077,7.187929376,7.176106365,7.266740612,8.314957187,8.057686596,7.915226057,7.995836576,8.261237068,8.341982538,8.709570217,8.43954785,7.847371101,4.538925648,3.859188601,2.531292734,3.795129848,3.351265975,3.573243792,2.901317001,2.882131642,2.800832835,6.657515381,5.098344153,4.200615745,5.836839447,6.899188412,13.81043585,9.870097017,5.681898837,2.724835688,11.19644103,8.957532754,6.73190848,9.631969295,10.25045439,17.38367964,12.77141402,8.564030479,5.525668523
40,4,9,15,Hawaii,1211537,1211538,1211566,1218305,1228069,1239298,1252782,1266117,1275599,1276832,1287481,1295178,28,6739,9764,11229,13484,13335,9482,1233,10649,7697,4235,17300,17269,17826,18411,18017,18372,19104,19338,19093,2165,8489,8788,8471,8912,8846,9115,9316,9681,9792,2070,8811,8481,9355,9499,9171,9257,9788,9657,9301,2045,5490,3180,-1544,7190,4382,5947,3772,4456,4033,-4086,-6523,-737,4967,-1958,1069,-4729,-12428,-3385,-5298,-2041,-1033,2443,3423,5232,5451,1218,-8656,1071,-1265,-1,-1039,-1160,-1549,-1247,-1287,-993,101,-79,-339,14.23943905,14.11803755,14.44941105,14.77560913,14.30545647,14.45637514,14.96925872,15.08240219,14.78553692,6.987202201,7.184510627,6.866428869,7.152258355,7.02370361,7.172319803,7.299707612,7.550560326,7.582882603,7.252236847,6.933526926,7.582982183,7.623350775,7.281752861,7.284055339,7.669551106,7.531841862,7.202654319,4.518758403,2.599766021,-1.251536557,5.770280248,3.4792979,4.679515729,2.955613688,3.475394774,3.12313782,-5.369009301,-0.602524389,4.026154196,-1.571378126,0.848783536,-3.721108102,-9.738167261,-2.640083328,-4.102748369,-0.850250898,1.997241632,2.774617639,4.198902122,4.328081436,0.958407627,-6.782553573,0.835311446,-0.979610549
40,4,8,16,Idaho,1293953,1293955,1299551,1321170,1342149,1364109,1391718,1425862,1464413,1499245,1527506,1545801,5596,21619,20979,21960,27609,34144,38551,34832,28261,18295,5238,20694,20714,21242,22274,22790,23549,24891,25181,25162,2342,9748,9819,9906,10358,10372,10412,10745,10835,10906,2896,10946,10895,11336,11916,12418,13137,14146,14346,14256,719,2919,2548,1794,2598,2388,2578,2191,2207,2179,2062,7437,6863,9030,13113,20163,22971,18126,11021,1555,2781,10356,9411,10824,15711,22551,25549,20317,13228,3734,-81,317,673,-200,-18,-825,-135,369,687,305,15.79260059,15.55502739,15.69842934,16.16502052,16.17700296,16.29533522,16.79748473,16.63896369,16.37454377,7.439174182,7.373506516,7.320809768,7.517162725,7.362346411,7.20485075,7.251174056,7.159492142,7.097240855,8.353426404,8.181520877,8.377619577,8.647857794,8.814656549,9.09048447,9.546310674,9.479471552,9.277302918,2.227631251,1.913402037,1.325815942,1.885459428,1.695071657,1.783913295,1.478578163,1.45832941,1.418016488,5.675537381,5.153719851,6.673421381,9.516562542,14.31228217,15.89537328,12.23218064,7.282396206,1.011939256,7.903168632,7.067121888,7.999237323,11.40202197,16.00735383,17.67928657,13.7107588,8.740725616,2.429955745
40,2,3,17,Illinois,12419293,12419658,12437645,12507833,12558229,12597981,12645295,12674452,12718011,12779417,12842954,12910409,17987,70188,50396,39752,47314,29157,43559,61406,63537,67455,45765,185576,181621,181674,183461,179567,178970,181258,181164,182783,25162,106432,106063,105777,104596,104604,102008,101531,101473,102981,20603,79144,75558,75897,78865,74963,76962,79727,79691,79802,15853,60050,53538,41903,42088,40789,41584,36453,35881,35839,-18250,-69730,-78810,-78636,-72526,-84933,-74809,-53878,-53045,-48249,-2397,-9680,-25272,-36733,-30438,-44144,-33225,-17425,-17164,-12410,-219,724,110,588,-1113,-1662,-178,-896,1010,63,14.87852829,14.4913868,14.44367017,14.5354351,14.18394899,14.09630881,14.21774777,14.14108007,14.19488399,8.533169819,8.462677544,8.409613372,8.287038497,8.262641803,8.034510083,7.964018959,7.920656523,7.997479786,6.345358465,6.028709256,6.0340568,6.248396603,5.921307192,6.061798731,6.253728808,6.220423551,6.197404199,4.814499846,4.271751981,3.331423931,3.334590962,3.221912131,3.275302597,2.859347225,2.800755637,2.783248153,-5.590592411,-6.288183601,-6.251816152,-5.74616385,-6.708834808,-5.892220853,-4.226151751,-4.140522358,-3.747005779,-0.776092565,-2.01643162,-2.920392221,-2.411572888,-3.486922677,-2.616918256,-1.366804526,-1.339766722,-0.963757627
40,2,3,18,Indiana,6080485,6080520,6091649,6124967,6149007,6181789,6214454,6253120,6301700,6346113,6388309,6423113,11129,33318,24040,32782,32665,38666,48580,44413,42196,34804,21424,87747,85016,85312,87815,86772,88475,89793,89167,88704,12975,55460,55486,54891,56055,55678,55144,55608,54738,56113,8449,32287,29530,30421,31760,31094,33331,34185,34429,32591,2867,11573,11073,9826,9705,10173,10401,9445,9110,9194,-267,-6481,-12972,-2355,-4747,2961,8882,1194,-1144,-6805,2600,5092,-1899,7471,4958,13134,19283,10639,7966,2389,80,-4061,-3591,-5110,-4053,-5562,-4034,-411,-199,-176,14.36518918,13.85305199,13.83722511,14.16800235,13.91962863,14.09418853,14.19897654,14.00409065,13.84764314,9.079437383,9.041244507,8.90307487,9.043869179,8.931649413,8.784514633,8.793298889,8.596856614,8.759839462,5.285751799,4.811807488,4.934150237,5.124133175,4.987979217,5.309673894,5.405677646,5.407234031,5.08780368,1.894632687,1.804305598,1.593733284,1.565796992,1.631913314,1.656893528,1.493538843,1.430767726,1.435281735,-1.06101395,-2.113740831,-0.381970475,-0.76587721,0.474992168,1.41491475,0.188807346,-0.179670503,-1.062333284,0.833618737,-0.309435233,1.211762809,0.799919782,2.106905481,3.071808278,1.682346189,1.251097223,0.372948452
40,2,4,19,Iowa,2926324,2926380,2928184,2929424,2929264,2932799,2941358,2949450,2964391,2978719,2993987,3007856,1804,1240,-160,3535,8559,8092,14941,14328,15268,13869,9374,38032,37383,38020,38287,38668,39986,40850,40792,40374,6322,27849,27962,27859,27657,27741,27316,27733,27426,27505,3052,10183,9421,10161,10630,10927,12670,13117,13366,12869,1377,5594,4951,4001,3703,3538,3619,3267,3090,3189,-2616,-13262,-13229,-8540,-3901,-5543,48,-1872,-1155,-2135,-1239,-7668,-8278,-4539,-198,-2005,3667,1395,1935,1054,-9,-1275,-1303,-2087,-1873,-830,-1396,-184,-33,-54,12.98550535,12.76156027,12.97154261,13.03574283,13.12824998,13.52285258,13.74701125,13.65947026,13.45386742,9.508659507,9.545481855,9.504844967,9.416500104,9.418402365,9.23798932,9.33282406,9.183777002,9.165517992,3.476845839,3.216078412,3.466697646,3.619242727,3.709847613,4.284863256,4.414187185,4.475693262,4.288349429,1.90999466,1.690139499,1.365048448,1.260776653,1.201193453,1.223908455,1.099424376,1.034706882,1.062673582,-4.528128205,-4.516028162,-2.913650024,-1.328190581,-1.881915011,0.016233105,-0.629973196,-0.386759368,-0.711448134,-2.618133545,-2.825888663,-1.548601576,-0.067413929,-0.680721558,1.240141559,0.46945118,0.647947513,0.351225449
40,2,4,20,Kansas,2688418,2688811,2692810,2701456,2712598,2721955,2730765,2741771,2755700,2775586,2797375,2818747,3999,8646,11142,9357,8810,11006,13929,19886,21789,21372,9751,39193,38957,39545,39430,39360,39841,41710,41485,41400,5634,24910,24847,24365,24535,24527,24575,24499,24012,23933,4117,14283,14110,15180,14895,14833,15266,17211,17473,17467,2100,7379,6080,3527,6509,5514,6137,5009,5130,5003,-2200,-13810,-9533,-9766,-12020,-10954,-6367,-3165,-905,-1242,-100,-6431,-3453,-6239,-5511,-5440,-230,1844,4225,3761,-18,794,485,416,-574,1613,-1107,831,91,144,14.53135607,14.39106444,14.55317484,14.46250679,14.3845559,14.49430111,15.08148376,14.88795633,14.74326947,9.235732906,9.178704165,8.966698825,8.999178392,8.963668763,8.940474629,8.858337826,8.617322102,8.522962998,5.295623167,5.212360276,5.586476017,5.463328394,5.420887135,5.553826478,6.223145938,6.270634228,6.220306468,2.73586805,2.246006412,1.297990838,2.387432327,2.015153486,2.232662983,1.811152054,1.841032083,1.781656453,-5.120251764,-3.521575514,-3.594039841,-4.408808815,-4.003262838,-2.316337822,-1.144399331,-0.324782463,-0.442298084,-2.384383714,-1.275569102,-2.296049003,-2.021376487,-1.988109352,-0.083674839,0.666752723,1.51624962,1.339358369
40,3,6,21,Kentucky,4041769,4042288,4048903,4069191,4091330,4118627,4147970,4182293,4219374,4256278,4287931,4314113,6615,20288,22139,27297,29343,34323,37081,36904,31653,26182,13475,55280,53959,54419,55784,56068,56957,59114,57502,56447,9207,39897,40328,39674,40517,39495,39685,39990,40842,41253,4268,15383,13631,14745,15267,16573,17272,19124,16660,15194,1535,5531,4471,2003,6056,5006,5822,4535,4757,4598,806,-388,4730,12279,8871,15531,12472,12666,9282,6268,2341,5143,9201,14282,14927,20537,18294,17201,14039,10866,6,-238,-693,-1730,-851,-2787,1515,579,954,122,13.61896031,13.22440075,13.25682948,13.49624277,13.46127967,13.55849976,13.94913335,13.45987674,13.12409004,9.829154479,9.883682672,9.664849645,9.802582611,9.482293656,9.446934757,9.436442176,9.560159402,9.59144129,3.789805834,3.340718074,3.591979836,3.69366016,3.978986018,4.111565003,4.512691177,3.899717341,3.532648752,1.362635121,1.095763371,0.48794409,1.465173638,1.201882822,1.385915438,1.070124163,1.113502725,1.06904824,-0.09558894,1.15923971,2.991245874,2.146227765,3.728813844,2.968934617,2.988796614,2.172699661,1.457328049,1.267046181,2.255003081,3.479189964,3.611401403,4.930696666,4.354850055,4.058920777,3.286202386,2.526376289
40,3,7,22,Louisiana,4468976,4468972,4468979,4460816,4466068,4474726,4489327,4497691,4240327,4376122,4451513,4492076,7,-8163,5252,8658,14601,8364,-257364,135795,75391,40563,15797,66431,65211,64539,65464,65253,58649,64557,66201,63742,9607,42004,41327,42027,42647,42802,42099,39343,39011,41778,6190,24427,23884,22512,22817,22451,16550,25214,27190,21964,1221,4134,3122,792,4885,3722,4582,3436,3676,3476,-7443,-33909,-18965,-10659,-9956,-14404,-282254,29970,14162,14647,-6222,-29775,-15843,-9867,-5071,-10682,-277672,33406,17838,18123,39,-2815,-2789,-3987,-3145,-3405,3758,77175,30363,476,14.87850505,14.61002518,14.43697282,14.60589312,14.52161329,13.42386798,14.98459516,14.99858116,14.25423284,9.407606782,9.258997877,9.401178464,9.51511554,9.525295265,9.635823593,9.132068211,8.838380835,9.342558116,5.470898268,5.351027301,5.03579436,5.090777576,4.996318022,3.788044383,5.852526952,6.160200326,4.91167472,0.925889116,0.699460192,0.177165473,1.089908772,0.828305896,1.048750415,0.797544325,0.832839147,0.777316578,-7.594575239,-4.24896302,-2.384351994,-2.22131663,-3.205512663,-64.60366641,6.956461995,3.20856039,3.27541885,-6.668686123,-3.549502828,-2.207186521,-1.131407858,-2.377206766,-63.554916,7.75400632,4.041399537,4.052735429
